"Slide Number","Topic","Subject","Title","Category","Filename"
"1","Course Framing","","CISP 400","Section Divider","source_pages/slide-01.png"
"2","Course Framing","","Start-Stop-Continue","Image","source_pages/slide-02.png"
"3","Course Framing","","Exercise Goals","Demonstration","source_pages/slide-03.png"
"4","Course Framing","","Stop-Start-Continue","Image","source_pages/slide-04.png"
"5","Course Framing","","Chapter 11","Image","source_pages/slide-05.png"
"6","Course Framing","","Ch 11 - More OOP","Image","source_pages/slide-06.png"
"7","Course Framing","","Ch 11 - More OOP","Image","source_pages/slide-07.png"
"8","Course Framing","","Theme for Today","Image","source_pages/slide-08.png"
"9","Operator Overloading","Operator Overloading","Programming Exercise","Demonstration","source_pages/slide-09.png"
"10","Operator Overloading","Operator Overloading","Exercise Goals","Demonstration","source_pages/slide-10.png"
"11","Operator Overloading","Operator Overloading","Programming Exercise","Demonstration","source_pages/slide-11.png"
"12","Operator Overloading","Operator Overloading","Source Slide 12","Image","source_pages/slide-12.png"
"13","Operator Overloading","Operator Overloading","Source Slide 13","Image","source_pages/slide-13.png"
"14","Operator Overloading","Operator Overloading","11.6 Operator","Image","source_pages/slide-14.png"
"15","Operator Overloading","Operator Overloading","Have you ever wondered how the * is able to do so","Process Pattern","source_pages/slide-15.png"
"16","Operator Overloading","Operator Overloading","• Have you ever wanted to change the function of the","Image","source_pages/slide-16.png"
"17","Operator Overloading","Operator Overloading","• We can do that in C++ because these symbols are","Image","source_pages/slide-17.png"
"18","Operator Overloading","Operator Overloading","Operator Overloading","Image","source_pages/slide-18.png"
"19","Operator Overloading","Operator Overloading","Source Slide 19","Image","source_pages/slide-19.png"
"20","Operator Overloading","Operator Overloading","• You can completely change the meaning of an","Image","source_pages/slide-20.png"
"21","Operator Overloading","Operator Overloading","Why would we want to do","Opening Question","source_pages/slide-21.png"
"22","Operator Overloading","Operator Overloading","Ways to Overload","Process Pattern","source_pages/slide-22.png"
"23","Operator Overloading","Operator Overloading","Overloading Arithmetic and Relational Operators","Image","source_pages/slide-23.png"
"24","Operator Overloading","Operator Overloading","Source Slide 24","Image","source_pages/slide-24.png"
"25","Operator Overloading","Operator Overloading","Source Slide 25","Image","source_pages/slide-25.png"
"26","Operator Overloading","Operator Overloading","How do we allow our code to perform multiple","Process Pattern","source_pages/slide-26.png"
"27","Operator Overloading","Operator Overloading","Source Slide 27","Image","source_pages/slide-27.png"
"28","Operator Overloading","Operator Overloading","Overloading the pre/post x operators","Image","source_pages/slide-28.png"
"29","Operator Overloading","Operator Overloading","Source Slide 29","Image","source_pages/slide-29.png"
"30","Operator Overloading","Operator Overloading","Source Slide 30","Image","source_pages/slide-30.png"
"31","Operator Overloading","Operator Overloading","Overloading the comparison operator","Image","source_pages/slide-31.png"
"32","Operator Overloading","Operator Overloading","Source Slide 32","Image","source_pages/slide-32.png"
"33","Operator Overloading","Operator Overloading","Algorithm for Overloading","Process Pattern","source_pages/slide-33.png"
"34","Friend Functions and Stream Operators","Friend Functions and Stream Operators","11.3 Friends of","Section Divider","source_pages/slide-34.png"
"35","Friend Functions and Stream Operators","Friend Functions and Stream Operators","For your consideration …","Image","source_pages/slide-35.png"
"36","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Source Slide 36","Image","source_pages/slide-36.png"
"37","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• we’d really like to print the C++ way  with the","Image","source_pages/slide-37.png"
"38","Friend Functions and Stream Operators","Friend Functions and Stream Operators","How we’d like to do it.","Process Pattern","source_pages/slide-38.png"
"39","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Overloading Operators","Image","source_pages/slide-39.png"
"40","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• There are two ways we can overload operators:","Process Pattern","source_pages/slide-40.png"
"41","Friend Functions and Stream Operators","Friend Functions and Stream Operators","1. Make the overloaded operator","Image","source_pages/slide-41.png"
"42","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• Consider overloading the >> and << operators …","Image","source_pages/slide-42.png"
"43","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• meaning …","Image","source_pages/slide-43.png"
"44","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• But  our free function also needs access to the","Image","source_pages/slide-44.png"
"45","Friend Functions and Stream Operators","Friend Functions and Stream Operators","operator<<","Image","source_pages/slide-45.png"
"46","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• we can solve this","Image","source_pages/slide-46.png"
"47","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Friends","Image","source_pages/slide-47.png"
"48","Friend Functions and Stream Operators","Friend Functions and Stream Operators","“A friend is a function that is not a member of a","Image","source_pages/slide-48.png"
"49","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Why would we want to do this?","Opening Question","source_pages/slide-49.png"
"50","Friend Functions and Stream Operators","Friend Functions and Stream Operators","OK … and we want to do this because …","Image","source_pages/slide-50.png"
"51","Friend Functions and Stream Operators","Friend Functions and Stream Operators","• Your class controls who its friends are.","Image","source_pages/slide-51.png"
"52","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Source Slide 52","Image","source_pages/slide-52.png"
"53","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Source Slide 53","Image","source_pages/slide-53.png"
"54","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Source Slide 54","Image","source_pages/slide-54.png"
"55","Friend Functions and Stream Operators","Friend Functions and Stream Operators","Source Slide 55","Image","source_pages/slide-55.png"
"56","Friend Functions and Stream Operators","Friend Functions and Stream Operators","“Don’t think of a friend as something outside of","Image","source_pages/slide-56.png"
"57","Code Together","","Code Together","Demonstration","source_pages/slide-57.png"
"58","Code Together","","• Code a rectangle class","Image","source_pages/slide-58.png"
"59","Code Together","","Key Takeaway","Image","source_pages/slide-59.png"
"60","Lecture Wrap-Up","","What’s this section","Section Divider","source_pages/slide-60.png"
"61","Lecture Wrap-Up","","Ch 11 - More OOP","Image","source_pages/slide-61.png"
"62","Lecture Wrap-Up","","62","Image","source_pages/slide-62.png"
"63","Lecture Wrap-Up","","Agenda","Agenda","source_pages/slide-63.png"
"64","Lecture Wrap-Up","","Programming Exercise","Demonstration","source_pages/slide-64.png"

