"Slide Number","Topic","Subject","Title","Category","Filename"
"1","Course Framing","","CISP 400","Section Divider","source_pages/slide-01.png"
"2","Course Framing","","Last Time","Progression Map","source_pages/slide-02.png"
"3","Course Framing","","Agenda","Agenda","source_pages/slide-03.png"
"4","Course Framing","","Agenda","Agenda","source_pages/slide-04.png"
"5","Class Initialization and Relationships","Class Initialization and Relationships","Theme for Today","Section Divider","source_pages/slide-05.png"
"6","Class Initialization and Relationships","Class Initialization and Relationships","“Initializing Classes”","Image","source_pages/slide-06.png"
"7","Class Initialization and Relationships","Class Initialization and Relationships","Lightning Review","Image","source_pages/slide-07.png"
"8","Class Initialization and Relationships","Class Initialization and Relationships","Lightning Review","Image","source_pages/slide-08.png"
"9","Class Initialization and Relationships","Class Initialization and Relationships","Programming Exercise","Demonstration","source_pages/slide-09.png"
"10","Class Initialization and Relationships","Class Initialization and Relationships","Source Slide 10","Image","source_pages/slide-10.png"
"11","Class Initialization and Relationships","Class Initialization and Relationships","Source Slide 11","Image","source_pages/slide-11.png"
"12","Class Initialization and Relationships","Class Initialization and Relationships","Source Slide 12","Image","source_pages/slide-12.png"
"13","Class Initialization and Relationships","Class Initialization and Relationships","Source Slide 13","Image","source_pages/slide-13.png"
"14","Dependency Relationships","Dependency Relationships","Relationships","Section Divider","source_pages/slide-14.png"
"15","Dependency Relationships","Dependency Relationships","• As you know  objects don’t work in isolation. They","Image","source_pages/slide-15.png"
"16","Dependency Relationships","Dependency Relationships","We will cover some of these individually.","Image","source_pages/slide-16.png"
"17","Dependency Relationships","Dependency Relationships","Source Slide 17","Image","source_pages/slide-17.png"
"18","Dependency Relationships","Dependency Relationships","Dependency Relationship","Image","source_pages/slide-18.png"
"19","Dependency Relationships","Dependency Relationships","Coding Characteristics","Image","source_pages/slide-19.png"
"20","Dependency Relationships","Dependency Relationships","Example 1","Image","source_pages/slide-20.png"
"21","Dependency Relationships","Dependency Relationships","Source Slide 21","Image","source_pages/slide-21.png"
"22","Dependency Relationships","Dependency Relationships","Example 2","Image","source_pages/slide-22.png"
"23","Dependency Relationships","Dependency Relationships","Source Slide 23","Image","source_pages/slide-23.png"
"24","Dependency Relationships","Dependency Relationships","Source Slide 24","Image","source_pages/slide-24.png"
